RunFootage,LengthOffset,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,CST_TOP_Real,CST_Centre_Real,CST_Bottom_Real,CS_Speed_Real,Nip_Speed_Real,Screw_Speed_Real,Back_Pressure_Real,Melt_Temp_Real,Chiller_Temp_Real,Motor_Amps_Real,TotalRunFootage,width,thickness,amb_tensile_pre_cure,amb_elongation_pre_cure,amb_elongation_result,amb_tensile_result,hot_tensile_result,hot_elongation_result,overall_result,month,ten_day_mean,ten_day_max,ten_day_min,ten_day_swing,Machine_1,Machine_2,Operator_0,Operator_1218,Operator_1251,Operator_1324,Operator_1476,Operator_1546,Operator_1580,Operator_1731,Operator_1766,Operator_1791,Operator_1793,Operator_2136,Operator_2167,Operator_2178,Operator_2198,Operator_2201,Operator_2218,Operator_2223,Operator_2238,Operator_2262,Operator_2275,Operator_2469
1250,500,178.0,188.1,189.9,189.9,185.0,188.5,195.6,195.0,195.0,195.0,195.0,204.8,200.0,201.1,200.1,205.0,194.9,194.9,195.0,49.5,77.6,39.7,8.503,8.502,26.902,1627,203.8,13.7,197.509,750,700,65.0,27.7,740.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1250,250,177.9,188.2,190.1,190.0,183.2,188.6,195.5,194.8,195.1,195.0,195.0,205.1,200.1,201.0,200.1,205.1,195.1,195.0,195.0,49.6,77.7,39.7,8.499,8.482,26.97,1605,203.6,13.6,195.636,1000,700,65.0,27.7,740.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,500,177.7,188.0,190.0,190.0,184.0,184.3,195.3,195.0,195.0,195.0,195.2,205.1,200.1,201.0,199.9,204.9,195.0,195.0,195.0,49.4,77.5,39.7,8.499,8.509,26.911,1581,203.2,14.0,196.75,750,700,65.0,18.1,595.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,250,178.2,188.2,190.0,190.1,184.4,184.4,195.2,195.0,195.1,195.0,195.0,205.1,200.2,201.0,200.0,205.1,195.1,194.9,195.0,49.3,77.6,39.7,8.497,8.512,26.973,1579,203.1,13.8,196.727,1000,700,65.0,18.1,595.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,500,178.0,188.3,190.1,190.0,182.8,183.7,195.2,194.9,195.1,195.0,195.0,205.0,200.1,200.8,199.9,205.1,195.0,195.0,195.0,49.0,77.6,39.8,8.503,8.507,26.745,1542,202.8,14.2,193.05,750,700,65.0,17.2,556.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,250,178.2,188.4,190.1,190.1,187.5,184.3,195.1,194.9,195.0,195.1,195.2,205.0,200.1,200.7,200.0,205.0,195.0,195.0,195.0,49.3,77.6,39.8,8.501,8.492,26.692,1528,202.8,13.7,194.213,1000,700,65.0,17.2,556.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,500,178.0,188.0,190.0,190.1,185.4,187.7,195.1,195.0,195.0,195.0,194.9,205.0,200.0,200.7,199.9,205.1,195.0,195.0,195.1,49.3,77.8,39.8,8.501,8.512,26.501,1514,203.0,14.0,190.489,750,700,65.0,23.7,711.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,250,177.6,188.0,189.9,190.0,185.4,185.5,195.1,195.0,195.0,194.9,195.1,205.0,200.0,200.8,200.1,204.9,195.0,195.0,195.1,49.5,77.9,39.8,8.497,8.499,26.276,1534,202.8,13.9,194.189,1000,700,65.0,23.7,711.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,500,177.9,187.8,190.0,189.9,188.1,193.3,195.0,195.0,195.0,194.9,195.0,204.8,199.8,200.6,199.9,204.7,195.0,195.0,195.0,49.0,77.5,39.7,8.501,8.507,26.328,1515,203.0,13.9,195.636,750,700,65.0,18.2,572.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,250,178.0,188.1,190.1,190.1,182.3,190.1,195.0,195.1,194.9,195.0,194.9,205.0,199.9,200.7,200.1,204.8,195.0,195.0,195.0,49.6,77.5,39.7,8.503,8.497,26.276,1530,202.8,13.7,195.707,1000,700,65.0,18.2,572.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,500,178.5,188.3,190.1,190.1,187.8,188.5,195.1,194.9,195.0,195.0,195.0,205.0,200.1,200.7,200.1,205.0,195.1,194.9,195.0,49.6,77.2,39.5,8.501,8.517,26.196,1491,202.4,13.2,191.271,750,700,65.0,18.9,632.0,1,1,1,1,1,2,-7.5,11.9,-26.3,38.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
