date_code,thickness,amb_tensile_pre_cure,amb_elongation_pre_cure,amb_elongation_result,amb_tensile_result,hot_tensile_result,hot_elongation_result,overall_result
17-B-1045,65.0,23.9,610.0,1,1,1,1,1
17-B-1046,65.0,24.6,640.0,1,1,1,1,1
17-B-1047,65.0,25.7,701.0,1,1,1,1,1
17-B-1048,65.0,23.8,648.0,1,1,1,1,1
17-B-1049,65.0,23.2,599.0,1,1,1,1,1
17-B-1050,65.0,24.8,635.0,1,1,1,1,1
17-B-1051,65.0,22.0,559.0,1,1,1,1,1
17-B-1052,65.0,19.6,456.0,1,1,1,1,1
17-B-1054,65.0,23.8,825.0,1,1,1,1,1
17-B-1055,65.0,20.2,673.0,1,1,1,1,1
17-B-1056,65.0,18.3,482.0,1,1,1,1,1
17-B-1057,65.0,24.7,828.0,1,0,1,1,0
17-B-1058,65.0,24.7,673.0,1,1,1,1,1
17-B-1059,65.0,25.5,673.0,1,1,0,1,0
17-B-1060,65.0,24.2,632.0,1,1,1,1,1
17-B-1061,117.0,19.6,543.0,1,0,1,1,0
17-B-1062,117.0,20.1,501.0,1,0,1,1,0
17-B-1063,117.0,18.9,544.0,1,0,1,1,0
17-B-1064,117.0,20.1,501.0,1,0,0,1,0
17-B-1065,117.0,19.9,454.0,1,0,1,1,0
17-B-1066,117.0,19.9,168.0,1,0,1,1,0
17-B-1067,117.0,19.7,405.0,1,0,1,1,0
17-B-1068,117.0,19.9,282.0,1,0,1,1,0
17-B-1069,117.0,19.8,417.0,1,0,0,1,0
17-B-1070,117.0,19.2,375.0,1,0,0,1,0
17-B-1071,117.0,19.4,404.0,1,0,0,1,0
17-B-1072,117.0,19.8,315.0,1,1,0,1,0
17-B-1073,117.0,19.3,320.0,1,0,1,1,0
17-B-1074,117.0,19.8,396.0,1,0,1,1,0
17-B-1075,117.0,19.3,495.0,1,0,1,1,0
17-B-1076,117.0,20.2,513.0,1,0,1,1,0
17-B-1080,117.0,20.8,359.0,1,0,1,1,0
17-B-1081,117.0,21.0,480.0,1,0,1,1,0
17-B-1083,117.0,19.4,297.0,1,0,1,1,0
17-B-1084,117.0,20.5,275.0,1,0,1,1,0
17-B-1085,117.0,20.4,362.0,1,0,1,1,0
17-B-1086,117.0,20.8,391.0,1,0,1,1,0
17-B-1087,117.0,20.6,441.0,1,0,1,1,0
17-B-1088,117.0,19.8,456.0,1,0,1,1,0
17-B-1089,117.0,20.4,346.0,1,1,0,1,0
17-B-1090,117.0,20.5,430.0,1,0,0,1,0
17-B-1091,117.0,20.3,345.0,1,0,0,1,0
17-B-1092,117.0,19.9,486.0,1,0,0,1,0
17-B-1093,117.0,20.1,524.0,1,0,0,1,0
17-B-1094,117.0,20.6,518.0,1,0,0,1,0
17-B-1095,117.0,20.1,494.0,1,0,1,1,0
17-B-1096,117.0,20.8,495.0,1,0,1,1,0
17-B-1097,117.0,20.1,497.0,1,0,1,1,0
17-B-1098,117.0,20.4,491.0,1,0,1,1,0
17-B-1099,117.0,21.0,484.0,1,0,1,1,0
17-B-1100,117.0,20.6,491.0,1,0,1,1,0
17-B-1101,117.0,20.5,352.0,1,0,1,1,0
17-B-1102,117.0,21.1,369.0,1,0,1,1,0
17-B-1110,117.0,20.6,369.0,1,1,1,1,1
17-B-1111,117.0,21.2,389.0,1,0,1,1,0
17-B-1112,117.0,21.9,407.0,1,1,1,1,1
17-B-1113,117.0,21.5,381.0,1,1,1,1,1
17-B-1114,117.0,21.7,345.0,1,1,1,1,1
17-B-1115,117.0,20.7,551.0,1,0,1,1,0
17-B-1116,117.0,21.3,492.0,1,0,1,1,0
17-B-1117,117.0,20.8,378.0,1,0,0,1,0
17-B-1118,117.0,21.0,432.0,1,0,0,1,0
17-B-1119,117.0,21.6,416.0,1,0,1,1,0
17-B-1120,117.0,21.6,458.0,1,0,1,1,0
17-B-1121,117.0,22.4,567.0,1,0,1,1,0
17-B-1122,117.0,21.9,382.0,1,0,1,1,0
17-B-1123,117.0,21.5,513.0,1,1,1,1,1
17-B-1124,117.0,21.6,382.0,1,0,1,1,0
17-B-1192,65.0,27.1,714.0,1,1,1,1,1
