DateTime_Stamp,Machine,DateCode_Full,PartNumber,Product,ShopOrder,Operator,RunFootage,LengthOffset,Recipe_DateTime,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,CST_TOP_Real,CST_Centre_Real,CST_Bottom_Real,CS_Speed_Real,Nip_Speed_Real,Screw_Speed_Real,Back_Pressure_Real,Melt_Temp_Real,Chiller_Temp_Real,Motor_Amps_Real
2018-11-02 15:04,Extruder 2,18-B-2487,90310-000045105004,7050,47826,1218,0,250,2018-11-02 15:04,161.2,202.1,230.3,239.3,227.9,235.1,219.1,214.8,205.4,213.8,200,199.8,200.4,206.2,200.1,199.9,1200,1200,200.1,73.4,65.4,25.3,7.988,8,36.002,1109,216.6,11.7,166.923
2018-11-02 14:28,Extruder 2,18-B-2487,90310-000045105004,7050,47826,1218,0,250,2018-11-02 14:28,162.7,200.1,229.2,235.9,225.8,234.9,220.4,215.4,204.8,212.7,200.4,200,201.6,204.8,201.1,200,1200,1200,200.5,69.8,65.6,25.2,7.984,8,32.089,1101,217.2,12.3,163.155
2018-11-02 8:51,Extruder 2,18-B-2487,90310-000045105004,7050,47826,1218,0,250,2018-11-02 8:51,160.1,199.9,228.5,239,228.2,233.3,220.2,214.5,206.2,214.3,200,199.9,202.5,203.9,201.6,200.2,1200,1200,200.3,52.6,64.5,25.2,7.954,7.949,30.59,1360,216.5,11.6,164.228
2018-10-31 1:53,Extruder 2,18-B-2486,90310-000045105004,7050,47826,1476,0,1000,2018-10-31 1:53,160.1,199.4,219.7,224.4,212,214.9,205.7,205.1,204.3,219.6,200,200,199.8,205,200.1,200.1,1200,1200,199.9,51.5,65.6,25,7.949,7.949,35.289,1236,207.1,11.2,169.706
2018-10-31 0:21,Extruder 2,18-B-2486,90310-000045105004,7050,47826,1476,0,250,2018-10-31 0:21,159.9,198.6,219.8,224.8,213.7,214.9,203,203.7,203.4,217.4,200.1,199.9,200.1,205.5,199.9,199.9,1200,1200,200,50.8,65.1,25,8.254,8.251,35.317,1208,205.9,12.1,170.254
2018-10-30 23:50,Extruder 2,18-B-2486,90310-000045105004,7050,47826,1476,0,250,2018-10-30 23:50,158.8,200,217.2,222.8,212.7,213.6,209.6,207,206.4,217.6,199.7,200.1,202.3,205.8,201.1,199.7,1200,1200,200.5,51.9,65.4,25.1,8.422,8.401,35.014,1223,209.2,11.3,169.619
2018-10-30 22:05,Extruder 2,18-B-2486,90310-000045105004,7050,47826,1476,0,250,2018-10-30 22:05,159.8,200.2,217.8,223.2,212.2,213.2,204.4,205,205,196.9,165,199.9,200.2,202.6,200.1,200.2,1200,1200,200.1,52.1,65.4,25.3,7.285,7.3,29.995,1227,206.8,10.1,166.617
2018-10-30 17:49,Extruder 2,18-B-2486,90310-000045105004,7050,47826,2178,0,2000,2018-10-30 17:49,128.9,133,152.6,188.6,187.1,199.3,204.5,204.1,205.4,199.4,168.9,199.9,200.6,201.1,200.5,200.1,1200,1200,200.2,49.3,65.5,24.8,4.031,4,19.997,983,205.3,13.4,198.476
2018-10-30 12:58,Extruder 2,18-B-2486,90310-000045105004,7050,47826,2178,0,1000,2018-10-30 12:58,169.7,219.8,229.5,230.5,236.8,235,228.2,219.8,219.7,210.1,175.4,199.7,199.9,204.9,199.7,199.9,1200,1200,199.9,53.4,65.2,24,6.507,6.5,22.399,1029,221.8,10.8,153.82
2018-10-30 9:57,Extruder 2,18-B-2486,90310-000045105004,7050,47826,2178,0,250,2018-10-30 9:57,172.4,225.2,227.2,229,234.8,221.5,238,229.7,219,215.6,187.6,200.2,202.5,204.4,202.3,200.2,1200,1200,200.5,48.4,59.7,20,9.504,9.5,25.981,1201,231.4,12.4,157.786
2018-10-30 5:35,Extruder 2,18-B-2486,90310-000045105004,7050,47826,1476,0,250,2018-10-30 5:35,152.5,207.8,208.4,197.8,178,187.5,189.4,187.3,187.7,192.7,184.9,190.4,191.7,191.7,191.9,190.5,1200,1200,185.8,52.8,60.6,20,8.594,8.599,36.007,1397,189.3,11.6,176.499
2018-10-30 2:51,Extruder 2,18-B-2485,90310-000030100002,7050,48970,1476,0,1000,2018-10-30 2:51,170.2,224.7,220.1,210.1,203.4,201.7,205.4,205.2,205,211.3,205.1,200,200,200.1,199.9,199.9,1200,1200,205.1,52.5,64.9,17,8.678,8.7,24.791,1164,206.6,11,156.975
2018-10-30 1:26,Extruder 2,18-B-2485,90310-000030100002,7050,48970,1476,0,250,2018-10-30 1:26,169.9,224.9,219.9,209.2,203.8,202.6,205.5,205.1,205.1,211.4,204.8,200,200,200.2,199.9,200,1200,1200,205,52,64.9,17,8.771,8.8,24.802,1207,206.4,11.5,157.633
2018-10-30 0:35,Extruder 2,18-B-2484,90310-000030100002,7050,48970,1476,0,1000,2018-10-30 0:35,170.2,225.2,221,209.3,204.1,209.2,204.7,204.8,204.6,211.1,204.9,200,199.9,199.9,199.9,200,1200,1200,205,50.4,63.4,17,8.682,8.7,24.785,1178,206.1,11.6,156.077
2018-10-29 23:09,Extruder 2,18-B-2484,90310-000030100002,7050,48970,1476,0,250,2018-10-29 23:09,170.2,225,219.7,209.7,198.9,196.9,206,205.5,205,211.3,205,200,200.2,200.2,200,199.9,1200,1200,204.9,51.3,65.5,17,8.687,8.7,24.488,1244,206.7,11.8,159.254
2018-10-29 22:17,Extruder 2,18-B-2483,90310-000030100002,7050,48970,1476,0,1000,2018-10-29 22:17,170.2,225,220,208.2,198.8,199.9,203.6,204.3,204.7,211.2,205.1,200,200.2,200.1,200,200.1,1200,1200,205.1,55.5,65.4,16.9,8.727,8.749,24.505,1286,205.4,10.2,160.766
2018-10-29 20:52,Extruder 2,18-B-2483,90310-000030100002,7050,48970,2178,0,250,2018-10-29 20:52,170.3,225.2,218.6,210.6,197.9,206.8,204.3,205.5,204.8,211.3,205.1,200.1,200.2,200.2,200.1,200.1,1200,1200,205.1,50.9,64.6,17,8.983,9,24.011,1163,206.4,11.9,157.173
2018-10-29 20:10,Extruder 2,18-B-2483,90310-000030100002,7050,48970,2178,0,250,2018-10-29 20:10,168.9,228.4,217.1,206.4,200.5,206.3,202.5,204.1,205.1,211,205.1,200.1,199.8,200.8,200,199.9,1200,1200,205.1,47.7,65.6,17,9.012,9,22.001,1178,205.1,12.5,157.567
2018-10-29 13:56,Extruder 2,18-B-2483,90310-000030100002,7050,48970,2178,0,250,2018-10-29 13:56,150.6,210.3,210.2,200.3,191.1,194.9,187.8,188.2,184.9,193.1,188.5,193.2,191.9,193.2,192.1,192.4,1200,1200,188.5,47.4,68.9,20,7.747,7.749,25.813,1272,189.1,12.9,165.28
2018-10-29 13:00,Extruder 2,18-B-2483,90310-000030100002,7050,48970,2178,0,250,2018-10-29 13:00,151.1,212.3,208.7,201.7,180,180.9,182.6,184.8,186.1,194,184.9,190.5,191.4,191.2,191.4,191.4,1200,1200,185,53.2,70.9,19.8,7.988,8,21.007,1324,186.2,11.3,163.242
2018-09-02 4:38,Extruder 2,18-B-2107,90310-000045100004,7050,47745,1546,39,1000,2018-09-02 4:38,149.9,204.9,209.6,199.7,191.4,186.8,185,185.1,184.9,190.5,185,190.1,189.9,200,190.3,190.1,1200,1200,185,48.9,60.8,20.3,8.801,8.8,38.893,1590,187.2,10.6,189.471
2018-09-02 3:14,Extruder 2,18-B-2107,90310-000045100004,7050,47745,1546,39,250,2018-09-02 3:14,150,204.2,209.6,203.7,189.3,186.5,185.2,185.1,185,190.7,185,189.9,189.8,200,189.9,189.8,1200,1200,184.8,50.4,60.1,20,8.786,8.8,38.91,1560,187.3,8.9,185.044
2018-09-02 1:46,Extruder 2,18-B-2106,90310-000045100004,7050,47745,1546,39,1000,2018-09-02 1:46,149.8,203.7,210.2,202.8,189.9,182.7,184.4,184.7,184.8,190.7,185,190.1,189.7,200.1,189.9,190,1200,1200,185,49.2,59.7,20,8.791,8.8,38.927,1558,186.8,9.1,187.367
2018-09-02 0:22,Extruder 2,18-B-2106,90310-000045100004,7050,47745,1546,39,250,2018-09-02 0:22,150,205.8,209.9,198.3,188.5,186.8,184.2,184.8,184.9,191,185,190,190.1,200,189.9,190,1200,1200,185,50.5,59,20.1,8.825,8.8,38.887,1551,186.8,8.9,187.192
2018-09-01 22:54,Extruder 2,18-B-2105,90310-000045100004,7050,47745,1546,39,1000,2018-09-01 22:54,150.1,206,210.3,198.6,190.3,185.1,185.6,185.4,184.8,191.1,185,190,189.8,200,189.9,189.9,1200,1200,185.2,50.9,59.8,20.1,8.796,8.8,38.893,1563,187.6,10.4,187.608
2018-09-01 21:33,Extruder 2,18-B-2105,90310-000045100004,7050,47745,1546,39,250,2018-09-01 21:33,151,205.9,210.5,199.7,186.7,186.2,187.4,186.2,185.6,191.7,185,190,191.6,200.4,190.5,189.8,1200,1200,185.1,50,60.3,19.9,9.337,9.35,40.976,1544,188.5,10.4,182.568
2018-09-01 18:48,Extruder 2,18-B-2104,90310-000045105004,7050,47825,1324,39,1000,2018-09-01 18:48,150.3,203.8,209.9,201.2,191.6,186.2,184.5,184.8,184.9,191.3,184.9,189.9,191.1,199.8,190,190.1,1200,1200,184.8,49.9,60.1,19.9,8.988,9,41.795,1583,187,9.7,185.22
2018-09-01 17:26,Extruder 2,18-B-2104,90310-000045105004,7050,47825,1324,39,250,2018-09-01 17:26,150.4,205.8,209.8,202.6,189.7,185.8,185.3,185.3,185.3,191.4,185,190.1,191.3,199.9,190.1,190.1,1200,1200,184.9,60.7,70.4,20.1,8.983,9,41.773,1599,187.5,9.2,189.054
