Date Code,"Nominal 
Thickness",Inspector,Density,HR 1,HR 2,HR 3,"Average 
Hardness"
17-B-1045,65T,IAN,0.921,72,72,72,72
17-B-1046,65T,IAN,0.921,70,70,70,70
17-B-1047,65T,IAN,0.921,71,71,71,71
17-B-1048,65T,IAN,0.92,71,71,71,71
17-B-1049,65T,IAN,0.92,70,70,70,70
17-B-1050,65T,IAN,0.921,71,71,71,71
17-B-1051,65T,IAN,0.921,69,69,69,69
17-B-1052,65T,IAN,0.922,70,70,70,70
17-B-1053,65T,DEREK,0.932,70,70,70,70
17-B-1054,65T,DEREK,0.921,70,70,70,70
17-B-1055,65T,DEREK,0.92,71,71,71,71
17-B-1056,65T,DEREK,0.92,71,71,71,71
17-B-1057,65T,DEREK,0.921,70,70,70,70
17-B-1058,65T,DEREK,0.921,69,69,69,69
17-B-1059,65T,DEREK,0.92,70,70,70,70
17-B-1060,65T,DEREK,0.921,70,70,70,70
17-B-1061,117T,DEREK,0.92,69,69,69,69
17-B-1062,117T,DEREK,0.922,71,71,71,71
17-B-1063,117T,DEREK,0.922,70,70,70,70
17-B-1064,117T,DEREK,0.921,70,70,70,70
17-B-1065,117T,DEREK,0.922,69,69,69,69
17-B-1066,117T,DEREK,0.922,70,70,70,70
17-B-1067,117T,DEREK,0.921,69,69,69,69
17-B-1068,117T,DEREK,0.921,71,71,71,71
17-B-1069,117T,DEREK,0.919,70,70,70,70
17-B-1070,117T,DEREK,0.919,69,69,69,69
17-B-1071,117T,IAN,0.921,70,70,70,70
17-B-1072,117T,IAN,0.922,71,71,71,71
17-B-1073,117T,IAN,0.922,69,69,69,69
17-B-1074,117T,IAN,0.922,72,72,72,72
17-B-1075,117T,IAN,0.921,71,71,71,71
17-B-1076,117T,IAN,0.921,70,70,70,70
17-B-1077,117T,IAN,0.924,70,70,70,70
17-B-1078,117T,IAN,0.924,71,71,71,71
17-B-1079,117T,IAN,0.923,70,70,70,70
17-B-1080,117T,IAN,0.922,71,69,69,69.66666667
17-B-1081,117T,IAN,0.923,70,70,70,70
17-B-1082,117T,IAN,0.923,71,71,71,71
17-B-1083,117T,IAN,0.923,70,70,70,70
17-B-1084,117T,IAN,0.923,71,71,71,71
17-B-1085,117T,IAN,0.922,70,70,70,70
17-B-1086,117T,IAN,0.922,71,71,71,71
17-B-1087,117T,IAN,0.921,69,69,69,69
17-B-1088,117T,IAN,0.92,71,70,70,70.33333333
17-B-1089,117T,IAN,0.921,70,70,70,70
17-B-1090,117T,IAN,0.921,71,71,71,71
17-B-1091,117T,IAN,0.92,73,74,72,73
17-B-1092,117T,IAN,0.919,72,73,72,72.33333333
17-B-1093,117T,IAN,0.919,70,71,70,70.33333333
17-B-1094,117T,IAN,0.918,69,71,69,69.66666667
17-B-1095,117T,IAN,0.92,70,70,71,70.33333333
17-B-1096,117T,IAN,0.921,71,70,71,70.66666667
17-B-1097,117T,IAN,0.921,70,69,71,70
17-B-1098,117T,IAN,0.92,72,70,72,71.33333333
17-B-1099,117T,IAN,0.921,70,72,70,70.66666667
17-B-1100,117T,IAN,0.92,70,71,71,70.66666667
17-B-1101,117T,IAN,0.923,68,69,68,68.33333333
17-B-1102,117T,IAN,0.923,72,74,71,72.33333333
17-B-1103,117T,IAN,0.923,73,72,72,72.33333333
17-B-1104,117T,SAM,0.923,69,70,71,70
17-B-1105,117T,SAM,0.923,69,68,69,68.66666667
17-B-1106,117T,SAM,0.922,71,71,72,71.33333333
17-B-1107,117T,SAM,0.923,72,71,73,72
17-B-1108,117T,SAM,0.92,71,70,70,70.33333333
17-B-1109,117T,KAREN,0.92,70,70,69,69.66666667
