,RunFootage,LengthOffset,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,CST_TOP_Real,CST_Centre_Real,CST_Bottom_Real,CS_Speed_Real,Nip_Speed_Real,Screw_Speed_Real,Back_Pressure_Real,Melt_Temp_Real,Chiller_Temp_Real,Motor_Amps_Real,TotalRunFootage,thickness,amb_tensile_pre_cure,amb_elongation_pre_cure,amb_tensile_post_cure,amb_elongation_post_cure,hot_tensile_start,hot_elongation_start,hot_tensile_end,hot_elongation_end,amb_elongation_result,amb_tensile_result,hot_tensile_result,hot_elongation_result,overall_result,year,month,mean_temp,max_temp,min_temp,ten_day_mean,ten_day_max,ten_day_min,ten_day_swing,Machine_1,Machine_2,PartNumber_90310-000030100002,PartNumber_90310-000030100004,PartNumber_90310-000045010004,PartNumber_90310-000045060004,PartNumber_90310-000045070004,PartNumber_90310-000045100004,PartNumber_90310-000045105004,PartNumber_90310-000065060004,PartNumber_90310-000065065004,PartNumber_90310-000065070004,PartNumber_90310-000065073004,PartNumber_90310-000065080004,PartNumber_90310-000065100004,PartNumber_90310-000065110004,PartNumber_90310-000072065004,PartNumber_90310-000117067504,PartNumber_90310-000117070004,PartNumber_90310-000117080004,Product_7050,Product_7050 0% 030T 1000W BK N/T,Product_7050 0% 045T 1000W BK N/T,Product_7050 0% 045T 1050W BK N/T,Product_7050 0% 065T 1000W BK N/T,Product_7050 0% 065T 1100W BK N/T,Product_7050 0% 065T 600W BK N/T,Product_7050 0% 065T 650W BK N/T,Product_7050 0% 065T 700W BK N/T,Product_7050 0% 065T 730W BK N/T,Product_7050 0% 065T 800W BK N/T,Product_7050 0% 072T 650W BK N/T,Product_7050 0% 117T 675W BK N/T,Product_7050 0% 117T 700W BK N/T,Operator_0,Operator_1218,Operator_1251,Operator_1324,Operator_1476,Operator_1546,Operator_1580,Operator_1731,Operator_1766,Operator_1791,Operator_1793,Operator_2136,Operator_2167,Operator_2178,Operator_2198,Operator_2201,Operator_2218,Operator_2223,Operator_2238,Operator_2243,Operator_2262,Operator_2275,Operator_2469
0,1250,500,177.9,188.2,189.9,190.0,185.0,184.1,195.0,195.0,195.1,195.0,195.1,202.1,200.0,201.6,200.0,202.2,195.0,195.0,195.1,48.5,76.7,39.5,8.802,8.784,23.162,1622,202.2,14.1,199.834,750,65.0,26.8,821.0,30.0,578.0,15.7,194.0,17.2,198.0,1,1,0,1,0,2022,3,-6.9,-2.9,-10.9,-6.841666666666666,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1250,250,177.8,188.4,190.0,190.0,184.9,185.4,195.0,195.0,195.0,195.0,195.0,201.8,200.0,201.8,199.9,202.0,195.1,195.1,194.9,48.6,76.7,39.6,8.8,8.79,23.055,1631,202.1,13.7,195.161,1000,65.0,26.8,821.0,30.0,578.0,15.7,194.0,17.2,198.0,1,1,0,1,0,2022,3,-6.9,-2.9,-10.9,-6.841666666666666,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1250,500,177.1,188.1,189.9,189.9,184.9,186.9,195.3,194.9,195.0,195.0,195.0,201.9,200.0,201.8,200.1,201.9,195.2,195.0,194.9,49.1,76.6,39.4,8.797,8.782,23.132,1640,202.2,13.1,196.086,750,65.0,27.6,800.0,32.9,574.0,14.7,180.0,13.1,186.0,1,1,1,1,1,2022,3,-6.9,-2.9,-10.9,-6.841666666666666,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1250,250,176.0,187.8,189.7,189.8,184.8,190.0,195.3,195.1,194.9,195.0,195.1,202.1,200.0,201.9,200.2,202.1,195.1,195.1,195.0,49.0,76.7,39.5,8.802,8.81,23.098,1640,202.1,14.1,195.161,1000,65.0,27.6,800.0,32.9,574.0,14.7,180.0,13.1,186.0,1,1,1,1,1,2022,3,-6.9,-2.9,-10.9,-6.841666666666666,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,1250,500,178.2,188.0,190.0,190.1,187.5,193.0,195.5,195.0,195.1,195.0,195.0,205.0,200.0,201.3,200.1,205.0,195.0,195.0,195.0,49.0,77.6,39.7,8.506,8.487,26.973,1622,203.9,13.5,200.19,750,65.0,22.1,741.0,29.7,530.0,11.0,179.0,18.2,191.0,1,1,0,1,0,2022,3,-6.9,-2.9,-10.9,-6.841666666666666,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1250,250,177.9,187.9,190.1,190.0,182.4,193.3,195.5,194.9,194.9,194.9,194.8,204.9,200.0,201.3,200.0,205.0,195.0,194.9,194.9,48.9,77.1,39.7,8.501,8.509,26.87,1616,203.9,13.7,197.083,1000,65.0,22.1,741.0,29.7,530.0,11.0,179.0,18.2,191.0,1,1,0,1,0,2022,3,-6.9,-2.9,-10.9,-6.841666666666666,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1250,500,178.0,188.1,189.9,189.9,185.0,188.5,195.6,195.0,195.0,195.0,195.0,204.8,200.0,201.1,200.1,205.0,194.9,194.9,195.0,49.5,77.6,39.7,8.503,8.502,26.902,1627,203.8,13.7,197.509,750,65.0,27.7,740.0,31.6,557.0,13.8,176.0,13.2,174.0,1,1,1,1,1,2022,2,-17.0,-7.6,-26.3,-7.5,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1250,250,177.9,188.2,190.1,190.0,183.2,188.6,195.5,194.8,195.1,195.0,195.0,205.1,200.1,201.0,200.1,205.1,195.1,195.0,195.0,49.6,77.7,39.7,8.499,8.482,26.97,1605,203.6,13.6,195.636,1000,65.0,27.7,740.0,31.6,557.0,13.8,176.0,13.2,174.0,1,1,1,1,1,2022,2,-17.0,-7.6,-26.3,-7.5,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1250,500,177.7,188.0,190.0,190.0,184.0,184.3,195.3,195.0,195.0,195.0,195.2,205.1,200.1,201.0,199.9,204.9,195.0,195.0,195.0,49.4,77.5,39.7,8.499,8.509,26.911,1581,203.2,14.0,196.75,750,65.0,18.1,595.0,28.3,517.0,10.5,189.0,9.9,188.0,1,1,1,1,1,2022,2,-17.0,-7.6,-26.3,-7.5,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1250,250,178.2,188.2,190.0,190.1,184.4,184.4,195.2,195.0,195.1,195.0,195.0,205.1,200.2,201.0,200.0,205.1,195.1,194.9,195.0,49.3,77.6,39.7,8.497,8.512,26.973,1579,203.1,13.8,196.727,1000,65.0,18.1,595.0,28.3,517.0,10.5,189.0,9.9,188.0,1,1,1,1,1,2022,2,-17.0,-7.6,-26.3,-7.5,11.9,-26.3,38.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
