DateTime_Stamp,Machine,DateCode_Full,PartNumber,Product,ShopOrder,Operator,RunFootage,LengthOffset,Recipe_DateTime,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,CST_TOP_Real,CST_Centre_Real,CST_Bottom_Real,CS_Speed_Real,Nip_Speed_Real,Screw_Speed_Real,Back_Pressure_Real,Melt_Temp_Real,Chiller_Temp_Real,Motor_Amps_Real,DateCodeDate,TopCoolingR,BottomCoolingR
2022-03-01 15:53,Extruder 1,22-A-100,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2167,1250,500,2022-03-01 15:53,178.1,188,189.9,190.1,182.9,193,195,195,195,195,195,202,199.9,201.2,199.9,202.1,195.1,195,194.9,49.1,77.7,39.6,8.802,8.835,22.308,1588,202.3,14.1,194.592,2022-03-01 14:47,27.1,27.5
2022-03-01 15:26,Extruder 1,22-A-100,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2167,1250,250,2022-03-01 15:26,178.3,188.1,190.1,189.9,185.8,186.2,195.1,195,195,195,195,202,199.9,201.2,200,202,194.9,195,195,49.3,77.7,39.7,8.797,8.802,22.342,1585,202,14,192.766,2022-03-01 14:47,27,27.7
2022-03-01 14:13,Extruder 1,22-A-99,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,500,2022-03-01 14:13,178.8,189,189.9,189.9,186.4,183.8,194.9,194.7,194.8,194.9,195,201.9,199.9,201.4,199.9,201.9,195,195,195,48.8,76.7,39.6,8.802,8.81,22.374,1588,201.5,13.6,191.319,2022-03-01 13:11,26.9,27.5
2022-03-01 13:45,Extruder 1,22-A-99,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,250,2022-03-01 13:45,178.9,189.7,189.9,189.9,183.7,187.6,194.7,194.9,194.8,194.8,195,201.9,199.7,201.4,199.9,202,195,195,195,49.5,77.2,39.6,8.8,8.764,22.349,1578,201.5,13.8,188.093,2022-03-01 13:11,26.9,27.6
2022-03-01 13:28,Extruder 1,22-A-99,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,1000,2022-03-01 13:28,178.2,189.1,189.9,189.9,182.7,185.2,195.1,195,194.8,194.8,195.2,201.8,199.7,201.2,199.9,201.8,194.9,195,194.9,49,76.9,39.5,8.806,8.825,22.335,1572,201.7,13.6,188.235,2022-03-01 13:11,27.1,27.5
2022-03-01 12:32,Extruder 1,22-A-98,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,500,2022-03-01 12:32,177.1,187.8,190,189.9,184.2,191.8,195.4,194.9,194,194.5,194.9,201.5,198.6,200.7,199.4,201.2,194.9,194.9,194.7,49.3,77.1,39.5,8.8,8.787,22.528,1584,202,13.9,185.176,2022-03-01 11:41,26.9,27.6
2022-03-01 12:04,Extruder 1,22-A-98,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,250,2022-03-01 12:04,174.6,184.9,190,189.8,183.4,195,195.3,194.5,192.7,194.3,194.6,200.9,197.2,200.3,199,200.5,194.7,194.7,194.4,48.9,76.5,39.5,8.8,8.815,22.585,1595,201.7,13.8,186.978,2022-03-01 11:41,26.8,27.5
2022-03-01 10:17,Extruder 1,22-A-97,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,500,2022-03-01 10:17,178.4,187.9,190.1,190,185.1,194.3,195.1,195.1,195,194.9,194.9,202,199.9,201.6,199.9,201.9,195,195,194.9,48.7,76.9,39.5,8.8,8.787,23.358,1569,202.2,13.3,191.912,2022-03-01 9:33,26.8,27
2022-03-01 9:49,Extruder 1,22-A-97,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,250,2022-03-01 9:49,178,187.8,189.9,189.9,185,196.6,195,195.1,194.9,195,195.1,202,199.9,201.4,199.9,202.1,195,195,195,48.8,77,39.5,8.8,8.782,23.342,1555,202.2,13.3,190.417,2022-03-01 9:33,26.8,27.1
2022-03-01 9:32,Extruder 1,22-A-96,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,1000,2022-03-01 9:32,178.4,187.9,190,190.1,185,192.5,195,194.8,195,195,195.2,202.1,199.9,201.5,200,202.1,195,195,195,48.6,77.1,39.4,8.802,8.8,23.314,1570,202.1,13.2,192.481,2022-03-01 7:31,26.6,27.2
2022-03-01 8:36,Extruder 1,22-A-96,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,500,2022-03-01 8:36,178.2,187.8,190.2,189.9,184.9,195.9,195,195,195,195,194.9,202.1,200,201.4,199.9,202.1,195,195.1,195.1,49.1,76.7,39.4,8.804,8.81,22.902,1549,202.2,13.7,192.078,2022-03-01 7:31,26.5,27.1
2022-03-01 8:08,Extruder 1,22-A-96,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2238,1250,250,2022-03-01 8:08,178,187.9,189.8,189.9,185,190.4,195.1,195.1,195,195,195.1,202,200,201.5,200.1,202.1,195,195,195,49.4,77,39.4,8.802,8.784,22.886,1561,202.1,14,190.394,2022-03-01 7:31,26.5,27
2022-03-01 6:53,Extruder 1,22-A-95,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2223,1250,500,2022-03-01 6:53,177.8,187.8,189.8,190,185,192.1,195,194.9,195,195,195,202.1,200.1,201.6,199.9,202,195,195,195,49,76.7,39.5,8.802,8.79,23.144,1609,202.4,13.7,193.382,2022-03-01 6:03,26.6,27.4
2022-03-01 6:25,Extruder 1,22-A-95,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2223,1250,250,2022-03-01 6:25,178,188,189.9,190.1,185,186.8,194.9,195.1,194.9,195,195,202.1,199.9,201.7,200,202.1,194.9,195,195,49.2,76.5,39.4,8.8,8.784,23.118,1609,202.2,14.1,191.485,2022-03-01 6:03,26.6,27
2022-03-01 5:12,Extruder 1,22-A-94,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2223,1250,500,2022-03-01 5:12,177.9,188.2,189.9,190,185,184.1,195,195,195.1,195,195.1,202.1,200,201.6,200,202.2,195,195,195.1,48.5,76.7,39.5,8.802,8.784,23.162,1622,202.2,14.1,199.834,2022-03-01 4:22,26.9,27.2
2022-03-01 4:44,Extruder 1,22-A-94,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2223,1250,250,2022-03-01 4:44,177.8,188.4,190,190,184.9,185.4,195,195,195,195,195,201.8,200,201.8,199.9,202,195.1,195.1,194.9,48.6,76.7,39.6,8.8,8.79,23.055,1631,202.1,13.7,195.161,2022-03-01 4:22,27.1,27.3
2022-03-01 3:31,Extruder 1,22-A-93,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2223,1250,500,2022-03-01 3:31,177.1,188.1,189.9,189.9,184.9,186.9,195.3,194.9,195,195,195,201.9,200,201.8,200.1,201.9,195.2,195,194.9,49.1,76.6,39.4,8.797,8.782,23.132,1640,202.2,13.1,196.086,2022-03-01 2:00,26.7,27.3
2022-03-01 3:03,Extruder 1,22-A-93,90310-000065060004,7050 0% 065T 600W BK N/T,64808,2223,1250,250,2022-03-01 3:03,176,187.8,189.7,189.8,184.8,190,195.3,195.1,194.9,195,195.1,202.1,200,201.9,200.2,202.1,195.1,195.1,195,49,76.7,39.5,8.802,8.81,23.098,1640,202.1,14.1,195.161,2022-03-01 2:00,26.8,27.1
2022-03-01 0:45,Extruder 1,22-A-92,90310-000065070004,7050 0% 065T 700W BK N/T,64809,2223,1250,500,2022-03-01 0:45,178.2,188,190,190.1,187.5,193,195.5,195,195.1,195,195,205,200,201.3,200.1,205,195,195,195,49,77.6,39.7,8.506,8.487,26.973,1622,203.9,13.5,200.19,2022-02-28 23:51,26.9,27.3
