DateTime_Stamp,Machine,DateCode_Full,Operator,RunFootage,LengthOffset,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,CST_TOP_Real,CST_Centre_Real,CST_Bottom_Real,CS_Speed_Real,Nip_Speed_Real,Screw_Speed_Real,Back_Pressure_Real,Melt_Temp_Real,Chiller_Temp_Real,Motor_Amps_Real,TotalRunFootage,date,width
2022-03-01 15:53:00,1,22-A-100,2167,1250,500,178.1,188.0,189.9,190.1,182.9,193.0,195.0,195.0,195.0,195.0,195.0,202.0,199.9,201.2,199.9,202.1,195.1,195.0,194.9,49.1,77.7,39.6,8.802,8.835,22.308,1588,202.3,14.1,194.592,750,2022-03-01,600
2022-03-01 15:26:00,1,22-A-100,2167,1250,250,178.3,188.1,190.1,189.9,185.8,186.2,195.1,195.0,195.0,195.0,195.0,202.0,199.9,201.2,200.0,202.0,194.9,195.0,195.0,49.3,77.7,39.7,8.797,8.802,22.342,1585,202.0,14.0,192.766,1000,2022-03-01,600
2022-03-01 14:13:00,1,22-A-99,2238,1250,500,178.8,189.0,189.9,189.9,186.4,183.8,194.9,194.7,194.8,194.9,195.0,201.9,199.9,201.4,199.9,201.9,195.0,195.0,195.0,48.8,76.7,39.6,8.802,8.81,22.374,1588,201.5,13.6,191.319,750,2022-03-01,600
2022-03-01 13:45:00,1,22-A-99,2238,1250,250,178.9,189.7,189.9,189.9,183.7,187.6,194.7,194.9,194.8,194.8,195.0,201.9,199.7,201.4,199.9,202.0,195.0,195.0,195.0,49.5,77.2,39.6,8.8,8.764,22.349,1578,201.5,13.8,188.093,1000,2022-03-01,600
2022-03-01 13:28:00,1,22-A-99,2238,1250,1000,178.2,189.1,189.9,189.9,182.7,185.2,195.1,195.0,194.8,194.8,195.2,201.8,199.7,201.2,199.9,201.8,194.9,195.0,194.9,49.0,76.9,39.5,8.806,8.825,22.335,1572,201.7,13.6,188.235,250,2022-03-01,600
2022-03-01 12:32:00,1,22-A-98,2238,1250,500,177.1,187.8,190.0,189.9,184.2,191.8,195.4,194.9,194.0,194.5,194.9,201.5,198.6,200.7,199.4,201.2,194.9,194.9,194.7,49.3,77.1,39.5,8.8,8.787,22.528,1584,202.0,13.9,185.176,750,2022-03-01,600
2022-03-01 12:04:00,1,22-A-98,2238,1250,250,174.6,184.9,190.0,189.8,183.4,195.0,195.3,194.5,192.7,194.3,194.6,200.9,197.2,200.3,199.0,200.5,194.7,194.7,194.4,48.9,76.5,39.5,8.8,8.815,22.585,1595,201.7,13.8,186.978,1000,2022-03-01,600
2022-03-01 10:17:00,1,22-A-97,2238,1250,500,178.4,187.9,190.1,190.0,185.1,194.3,195.1,195.1,195.0,194.9,194.9,202.0,199.9,201.6,199.9,201.9,195.0,195.0,194.9,48.7,76.9,39.5,8.8,8.787,23.358,1569,202.2,13.3,191.912,750,2022-03-01,600
2022-03-01 09:49:00,1,22-A-97,2238,1250,250,178.0,187.8,189.9,189.9,185.0,196.6,195.0,195.1,194.9,195.0,195.1,202.0,199.9,201.4,199.9,202.1,195.0,195.0,195.0,48.8,77.0,39.5,8.8,8.782,23.342,1555,202.2,13.3,190.417,1000,2022-03-01,600
2022-03-01 09:32:00,1,22-A-96,2238,1250,1000,178.4,187.9,190.0,190.1,185.0,192.5,195.0,194.8,195.0,195.0,195.2,202.1,199.9,201.5,200.0,202.1,195.0,195.0,195.0,48.6,77.1,39.4,8.802,8.8,23.314,1570,202.1,13.2,192.481,250,2022-03-01,600
