,n,Training,Testing
0,1,0.4451345755693582,0.4558139534883721
1,2,0.5227743271221532,0.5348837209302325
2,3,0.5424430641821946,0.5519379844961241
3,4,0.5305383022774327,0.5348837209302325
4,5,0.5942028985507246,0.6108527131782946
5,6,0.6174948240165632,0.6263565891472869
6,7,0.6211180124223602,0.6294573643410852
7,8,0.6226708074534162,0.6310077519379845
8,9,0.6226708074534162,0.6310077519379845
9,10,0.6226708074534162,0.6310077519379845
10,11,0.6247412008281573,0.6341085271317829
11,12,0.6288819875776398,0.6403100775193798
12,13,0.6371635610766045,0.6465116279069767
13,14,0.6371635610766045,0.6465116279069767
14,15,0.6645962732919255,0.6387596899224807
15,16,0.6413043478260869,0.6108527131782946
16,17,0.6682194616977226,0.6356589147286822
17,18,0.6656314699792961,0.6666666666666666
18,19,0.6770186335403726,0.6697674418604651
19,20,0.6790890269151139,0.6697674418604651
20,21,0.6837474120082816,0.6775193798449612
21,22,0.6920289855072463,0.6837209302325581
22,23,0.6909937888198758,0.6961240310077519
23,24,0.6940993788819876,0.7085271317829457
24,25,0.6977225672877847,0.7069767441860465
25,26,0.6915113871635611,0.7147286821705426
26,27,0.6951345755693582,0.7085271317829457
27,28,0.6966873706004141,0.7085271317829457
28,29,0.6956521739130435,0.7054263565891473
29,30,0.6956521739130435,0.703875968992248
30,31,0.6956521739130435,0.7023255813953488
31,32,0.6966873706004141,0.7054263565891473
32,33,0.6972049689440993,0.7054263565891473
33,34,0.6997929606625258,0.7054263565891473
34,35,0.7075569358178054,0.703875968992248
35,36,0.7070393374741201,0.7069767441860465
36,37,0.7111801242236024,0.7054263565891473
37,38,0.7106625258799172,0.7131782945736435
38,39,0.7106625258799172,0.7131782945736435
39,40,0.7106625258799172,0.7131782945736435
40,41,0.7091097308488613,0.7147286821705426
41,42,0.7091097308488613,0.7131782945736435
42,43,0.7085921325051759,0.7147286821705426
43,44,0.7085921325051759,0.7131782945736435
44,45,0.7085921325051759,0.7131782945736435
45,46,0.7096273291925466,0.7131782945736435
46,47,0.7096273291925466,0.7116279069767442
47,48,0.7096273291925466,0.7116279069767442
48,49,0.7111801242236024,0.7131782945736435
49,50,0.7122153209109731,0.7147286821705426
50,51,0.7096273291925466,0.7116279069767442
51,52,0.7091097308488613,0.710077519379845
52,53,0.7122153209109731,0.7085271317829457
53,54,0.7116977225672878,0.7131782945736435
54,55,0.7137681159420289,0.7162790697674418
55,56,0.7106625258799172,0.7147286821705426
56,57,0.7101449275362319,0.7162790697674418
57,58,0.7116977225672878,0.7131782945736435
58,59,0.7122153209109731,0.7131782945736435
59,60,0.7148033126293996,0.7178294573643411
60,61,0.717391304347826,0.7209302325581395
61,62,0.7163561076604554,0.7209302325581395
62,63,0.7158385093167702,0.7209302325581395
63,64,0.7168737060041408,0.7209302325581395
64,65,0.717391304347826,0.7193798449612403
65,66,0.7168737060041408,0.7193798449612403
66,67,0.7153209109730849,0.7224806201550388
67,68,0.7179089026915114,0.724031007751938
68,69,0.7184265010351967,0.7255813953488373
69,70,0.717391304347826,0.7271317829457364
70,71,0.7168737060041408,0.7209302325581395
71,72,0.7158385093167702,0.7193798449612403
72,73,0.7142857142857143,0.7255813953488373
73,74,0.7142857142857143,0.7224806201550388
74,75,0.7194616977225673,0.7271317829457364
