,n,Training,Testing
0,1,0.44254658385093165,0.45891472868217054
1,2,0.577639751552795,0.5534883720930233
2,3,0.6242236024844721,0.6077519379844961
3,4,0.6242236024844721,0.6077519379844961
4,5,0.6247412008281573,0.6093023255813953
5,6,0.6231884057971014,0.6108527131782946
6,7,0.6231884057971014,0.6108527131782946
7,8,0.6257763975155279,0.6201550387596899
8,9,0.6340579710144928,0.6248062015503876
9,10,0.6330227743271222,0.6248062015503876
10,11,0.629399585921325,0.6201550387596899
11,12,0.629399585921325,0.6217054263565891
12,13,0.6304347826086957,0.6170542635658914
13,14,0.6164596273291926,0.6
14,15,0.6123188405797102,0.5984496124031008
15,16,0.6128364389233955,0.6
16,17,0.6123188405797102,0.5984496124031008
17,18,0.6128364389233955,0.5984496124031008
18,19,0.6133540372670807,0.5984496124031008
19,20,0.6128364389233955,0.5984496124031008
20,21,0.6128364389233955,0.5968992248062015
21,22,0.6123188405797102,0.5968992248062015
22,23,0.6211180124223602,0.5953488372093023
23,24,0.6242236024844721,0.6031007751937985
24,25,0.6231884057971014,0.6
25,26,0.6221532091097308,0.6
26,27,0.6211180124223602,0.6
27,28,0.6211180124223602,0.6
28,29,0.6211180124223602,0.6
29,30,0.6211180124223602,0.6
30,31,0.6211180124223602,0.6
31,32,0.6211180124223602,0.6
32,33,0.6211180124223602,0.6
33,34,0.6211180124223602,0.6
34,35,0.6216356107660456,0.6
35,36,0.6211180124223602,0.5984496124031008
36,37,0.6211180124223602,0.5984496124031008
37,38,0.6211180124223602,0.5984496124031008
38,39,0.6211180124223602,0.5984496124031008
39,40,0.6211180124223602,0.5984496124031008
40,41,0.6211180124223602,0.5984496124031008
41,42,0.6216356107660456,0.5984496124031008
42,43,0.6216356107660456,0.5984496124031008
43,44,0.6185300207039337,0.5937984496124031
44,45,0.6143892339544513,0.5937984496124031
45,46,0.6128364389233955,0.6
46,47,0.6169772256728778,0.6046511627906976
47,48,0.6242236024844721,0.6124031007751938
48,49,0.6273291925465838,0.6170542635658914
49,50,0.6330227743271222,0.6170542635658914
50,51,0.6340579710144928,0.6108527131782946
51,52,0.6428571428571429,0.6155038759689923
52,53,0.6454451345755694,0.6170542635658914
53,54,0.6495859213250518,0.6232558139534884
54,55,0.6485507246376812,0.6186046511627907
55,56,0.6485507246376812,0.6232558139534884
56,57,0.6475155279503105,0.6217054263565891
57,58,0.6480331262939959,0.6155038759689923
58,59,0.6464803312629399,0.6232558139534884
59,60,0.6532091097308489,0.6294573643410852
60,61,0.6583850931677019,0.6341085271317829
61,62,0.6609730848861284,0.6403100775193798
62,63,0.6625258799171843,0.6403100775193798
63,64,0.6625258799171843,0.641860465116279
64,65,0.6630434782608695,0.641860465116279
65,66,0.6651138716356108,0.6387596899224807
66,67,0.6651138716356108,0.6387596899224807
67,68,0.6640786749482401,0.6403100775193798
68,69,0.6635610766045549,0.6403100775193798
69,70,0.6630434782608695,0.6403100775193798
70,71,0.6635610766045549,0.641860465116279
71,72,0.6625258799171843,0.648062015503876
72,73,0.6661490683229814,0.648062015503876
73,74,0.6708074534161491,0.6496124031007752
74,75,0.6728778467908902,0.6542635658914728
