,feature,mutual_info_score
28,Screw_Speed_Real,0.2527027307244454
26,CS_Speed_Real,0.207888414363814
27,Nip_Speed_Real,0.19297961237408567
25,CST_Bottom_Real,0.16627974250900013
23,CST_TOP_Real,0.13555936870426533
2,RunFootage,0.12010407393847222
10,Z7,0.11212316716415338
33,TotalRunFootage,0.1116034431710693
24,CST_Centre_Real,0.10967172049520313
34,width,0.09174581335206988
13,Z10,0.08669605346711395
29,Back_Pressure_Real,0.08393445937715382
7,Z4,0.07831707074539596
14,Z11,0.07387807399278845
22,Z19,0.06842234384639312
16,Z13,0.06385278320797871
32,Motor_Amps_Real,0.06354392379683649
8,Z5,0.06197217487361484
4,Z1,0.06134560107474751
17,Z14,0.05301889575926455
30,Melt_Temp_Real,0.05220125876921644
20,Z17,0.04659372274451923
9,Z6,0.04580051966361687
21,Z18,0.04539406051602257
11,Z8,0.04506605461524971
18,Z15,0.04349712140426454
15,Z12,0.03856883669235556
12,Z9,0.036478567919042915
6,Z3,0.033764556431366
5,Z2,0.033653221523066046
19,Z16,0.027502553023965204
3,LengthOffset,0.008058025554484871
0,Machine_1,0.005077843365767221
1,Machine_2,0.0025963048501709274
31,Chiller_Temp_Real,0.00021350385867258126
