,n,Training,Testing
0,1,0.44306418219461696,0.45271317829457364
1,2,0.44306418219461696,0.45271317829457364
2,3,0.44306418219461696,0.45271317829457364
3,4,0.577639751552795,0.5426356589147286
4,5,0.5393374741200828,0.5348837209302325
5,6,0.5434782608695652,0.5364341085271318
6,7,0.5538302277432712,0.5534883720930233
7,8,0.6061076604554866,0.5922480620155038
8,9,0.6283643892339544,0.6155038759689923
9,10,0.6402691511387164,0.6387596899224807
10,11,0.6402691511387164,0.6403100775193798
11,12,0.6402691511387164,0.6403100775193798
12,13,0.6402691511387164,0.6387596899224807
13,14,0.6402691511387164,0.6387596899224807
14,15,0.6402691511387164,0.6372093023255814
15,16,0.6381987577639752,0.6372093023255814
16,17,0.644927536231884,0.6387596899224807
17,18,0.6557971014492754,0.6449612403100775
18,19,0.6863354037267081,0.6790697674418604
19,20,0.7329192546583851,0.703875968992248
20,21,0.7458592132505176,0.7193798449612403
21,22,0.7468944099378882,0.7116279069767442
22,23,0.744824016563147,0.710077519379845
23,24,0.7355072463768116,0.7069767441860465
24,25,0.7267080745341615,0.6976744186046512
25,26,0.727743271221532,0.6976744186046512
26,27,0.7220496894409938,0.6961240310077519
27,28,0.7220496894409938,0.6961240310077519
28,29,0.7220496894409938,0.6961240310077519
29,30,0.7220496894409938,0.6961240310077519
30,31,0.722567287784679,0.6992248062015504
31,32,0.7236024844720497,0.7007751937984497
32,33,0.7267080745341615,0.6976744186046512
33,34,0.7251552795031055,0.7023255813953488
34,35,0.7272256728778468,0.7007751937984497
35,36,0.724120082815735,0.7007751937984497
36,37,0.7199792960662525,0.6992248062015504
37,38,0.727743271221532,0.703875968992248
38,39,0.7391304347826086,0.7131782945736435
39,40,0.7541407867494824,0.7162790697674418
40,41,0.760351966873706,0.7193798449612403
41,42,0.7608695652173914,0.7224806201550388
42,43,0.7567287784679089,0.7193798449612403
43,44,0.7572463768115942,0.7209302325581395
44,45,0.7556935817805382,0.7209302325581395
45,46,0.7562111801242236,0.7209302325581395
46,47,0.7562111801242236,0.7209302325581395
47,48,0.7562111801242236,0.7209302325581395
48,49,0.7562111801242236,0.7209302325581395
49,50,0.7562111801242236,0.7209302325581395
50,51,0.7562111801242236,0.7209302325581395
51,52,0.7562111801242236,0.7209302325581395
52,53,0.7562111801242236,0.7209302325581395
53,54,0.7562111801242236,0.7209302325581395
54,55,0.7562111801242236,0.7209302325581395
55,56,0.7562111801242236,0.7209302325581395
56,57,0.7562111801242236,0.7209302325581395
57,58,0.7562111801242236,0.7209302325581395
58,59,0.7562111801242236,0.7209302325581395
59,60,0.7562111801242236,0.7209302325581395
60,61,0.7562111801242236,0.7209302325581395
61,62,0.7562111801242236,0.7209302325581395
62,63,0.7562111801242236,0.7209302325581395
63,64,0.7562111801242236,0.7209302325581395
64,65,0.7562111801242236,0.7209302325581395
65,66,0.7562111801242236,0.7209302325581395
66,67,0.7562111801242236,0.7209302325581395
67,68,0.7562111801242236,0.7209302325581395
68,69,0.7562111801242236,0.7209302325581395
69,70,0.7562111801242236,0.7209302325581395
70,71,0.7562111801242236,0.7209302325581395
71,72,0.7562111801242236,0.7209302325581395
72,73,0.7562111801242236,0.7209302325581395
73,74,0.7562111801242236,0.7209302325581395
74,75,0.7562111801242236,0.7209302325581395
