,n,Training,Testing
0,1,0.44875776397515527,0.4356589147286822
1,2,0.44875776397515527,0.4356589147286822
2,3,0.5408902691511387,0.5286821705426357
3,4,0.5429606625258799,0.5286821705426357
4,5,0.5543478260869565,0.5488372093023256
5,6,0.6045548654244306,0.5953488372093023
6,7,0.6185300207039337,0.6263565891472869
7,8,0.6387163561076604,0.6356589147286822
8,9,0.6402691511387164,0.6372093023255814
9,10,0.6402691511387164,0.6372093023255814
10,11,0.6402691511387164,0.6372093023255814
11,12,0.6402691511387164,0.6356589147286822
12,13,0.6392339544513458,0.6356589147286822
13,14,0.6387163561076604,0.6356589147286822
14,15,0.6387163561076604,0.6356589147286822
15,16,0.6387163561076604,0.641860465116279
16,17,0.6464803312629399,0.6387596899224807
17,18,0.6692546583850931,0.6542635658914728
18,19,0.7039337474120083,0.7085271317829457
19,20,0.7406832298136646,0.7271317829457364
20,21,0.7313664596273292,0.7178294573643411
21,22,0.7380952380952381,0.7317829457364341
22,23,0.7334368530020704,0.7317829457364341
23,24,0.7230848861283644,0.7193798449612403
24,25,0.7204968944099379,0.724031007751938
25,26,0.7184265010351967,0.724031007751938
26,27,0.7184265010351967,0.7224806201550388
27,28,0.7184265010351967,0.7224806201550388
28,29,0.7184265010351967,0.7224806201550388
29,30,0.718944099378882,0.7224806201550388
30,31,0.718944099378882,0.7224806201550388
31,32,0.7199792960662525,0.724031007751938
32,33,0.718944099378882,0.724031007751938
33,34,0.717391304347826,0.7209302325581395
34,35,0.7168737060041408,0.7162790697674418
35,36,0.7184265010351967,0.7162790697674418
36,37,0.7194616977225673,0.7178294573643411
37,38,0.718944099378882,0.7162790697674418
38,39,0.722567287784679,0.7255813953488373
39,40,0.7406832298136646,0.7472868217054264
40,41,0.760351966873706,0.7472868217054264
41,42,0.7650103519668737,0.7550387596899225
42,43,0.7587991718426501,0.7457364341085271
43,44,0.7587991718426501,0.7441860465116279
44,45,0.7587991718426501,0.7457364341085271
45,46,0.7577639751552795,0.7472868217054264
46,47,0.7577639751552795,0.7472868217054264
47,48,0.7556935817805382,0.7457364341085271
48,49,0.7556935817805382,0.7457364341085271
49,50,0.7556935817805382,0.7457364341085271
50,51,0.7556935817805382,0.7457364341085271
51,52,0.7577639751552795,0.7472868217054264
52,53,0.7577639751552795,0.7472868217054264
53,54,0.7567287784679089,0.7457364341085271
54,55,0.755175983436853,0.7441860465116279
55,56,0.7546583850931677,0.7410852713178294
56,57,0.7556935817805382,0.7488372093023256
57,58,0.7587991718426501,0.751937984496124
58,59,0.7613871635610766,0.7534883720930232
59,60,0.7577639751552795,0.7488372093023256
60,61,0.7577639751552795,0.7488372093023256
61,62,0.7567287784679089,0.7472868217054264
62,63,0.7567287784679089,0.7472868217054264
63,64,0.7567287784679089,0.7472868217054264
64,65,0.7567287784679089,0.7472868217054264
65,66,0.7567287784679089,0.7472868217054264
66,67,0.7567287784679089,0.7472868217054264
67,68,0.7567287784679089,0.7472868217054264
68,69,0.7567287784679089,0.7472868217054264
69,70,0.7567287784679089,0.7472868217054264
70,71,0.7567287784679089,0.7472868217054264
71,72,0.7567287784679089,0.7472868217054264
72,73,0.7567287784679089,0.7472868217054264
73,74,0.7567287784679089,0.7472868217054264
74,75,0.7567287784679089,0.7472868217054264
