,n,Training,Testing
0,1,0.55175983436853,0.5658914728682171
1,2,0.55175983436853,0.5658914728682171
2,3,0.5398550724637681,0.5596899224806201
3,4,0.5584886128364389,0.5782945736434109
4,5,0.5584886128364389,0.5906976744186047
5,6,0.5584886128364389,0.5906976744186047
6,7,0.5584886128364389,0.5906976744186047
7,8,0.5584886128364389,0.5906976744186047
8,9,0.562111801242236,0.5875968992248062
9,10,0.5615942028985508,0.5844961240310077
10,11,0.5615942028985508,0.5782945736434109
11,12,0.572463768115942,0.5813953488372093
12,13,0.5812629399585921,0.5937984496124031
13,14,0.5838509316770186,0.5968992248062015
14,15,0.5745341614906833,0.5937984496124031
15,16,0.5693581780538303,0.5906976744186047
16,17,0.5693581780538303,0.5875968992248062
17,18,0.5693581780538303,0.5875968992248062
18,19,0.5527950310559007,0.5813953488372093
19,20,0.556935817805383,0.5891472868217055
20,21,0.5652173913043478,0.5937984496124031
21,22,0.577639751552795,0.6
22,23,0.5843685300207039,0.6077519379844961
23,24,0.5988612836438924,0.6294573643410852
24,25,0.6071428571428571,0.6372093023255814
25,26,0.6055900621118012,0.6325581395348837
26,27,0.6019668737060041,0.6201550387596899
27,28,0.6019668737060041,0.6201550387596899
28,29,0.5905797101449275,0.6108527131782946
29,30,0.5905797101449275,0.6108527131782946
30,31,0.5988612836438924,0.6139534883720931
31,32,0.6061076604554866,0.6201550387596899
32,33,0.598343685300207,0.6201550387596899
33,34,0.598343685300207,0.6201550387596899
34,35,0.598343685300207,0.6201550387596899
35,36,0.598343685300207,0.6201550387596899
36,37,0.598343685300207,0.6201550387596899
37,38,0.598343685300207,0.6201550387596899
38,39,0.598343685300207,0.6201550387596899
39,40,0.598343685300207,0.6201550387596899
40,41,0.598343685300207,0.6201550387596899
41,42,0.598343685300207,0.6201550387596899
42,43,0.598343685300207,0.6201550387596899
43,44,0.598343685300207,0.6201550387596899
44,45,0.598343685300207,0.6201550387596899
45,46,0.598343685300207,0.6201550387596899
46,47,0.598343685300207,0.6201550387596899
47,48,0.598343685300207,0.6201550387596899
48,49,0.598343685300207,0.6201550387596899
49,50,0.598343685300207,0.6201550387596899
50,51,0.598343685300207,0.6201550387596899
51,52,0.598343685300207,0.6201550387596899
52,53,0.598343685300207,0.6201550387596899
53,54,0.598343685300207,0.6201550387596899
54,55,0.598343685300207,0.6201550387596899
55,56,0.598343685300207,0.6201550387596899
56,57,0.598343685300207,0.6201550387596899
57,58,0.598343685300207,0.6201550387596899
58,59,0.598343685300207,0.6201550387596899
59,60,0.598343685300207,0.6201550387596899
60,61,0.598343685300207,0.6201550387596899
61,62,0.598343685300207,0.6201550387596899
62,63,0.598343685300207,0.6201550387596899
63,64,0.598343685300207,0.6201550387596899
64,65,0.598343685300207,0.6201550387596899
65,66,0.598343685300207,0.6201550387596899
66,67,0.598343685300207,0.6201550387596899
67,68,0.598343685300207,0.6201550387596899
68,69,0.598343685300207,0.6201550387596899
69,70,0.598343685300207,0.6201550387596899
70,71,0.598343685300207,0.6201550387596899
71,72,0.598343685300207,0.6201550387596899
72,73,0.598343685300207,0.6201550387596899
73,74,0.598343685300207,0.6201550387596899
74,75,0.598343685300207,0.6201550387596899
