model,training_accuracy,testing_accuracy,recall,precision,classifier
All Features,0.8043478260869565,0.8108527131782945,0.8184357541899442,0.8371428571428572,Logistic Regression
Top 5 Chi2,0.7546583850931677,0.7736434108527132,0.7678100263852242,0.833810888252149,Logistic Regression
Machine Features,0.7468944099378882,0.7364341085271318,0.7437325905292479,0.7739130434782608,Logistic Regression
Weather Features,0.6164596273291926,0.5953488372093023,0.811965811965812,0.59375,Logistic Regression
Quality Features,0.7479296066252588,0.7503875968992249,0.7257617728531855,0.808641975308642,Logistic Regression
All Features Top 10,0.7360248447204969,0.7550387596899225,0.7093023255813954,0.8079470198675497,Logistic Regression
Machine Features Top 10,0.7168737060041408,0.7023255813953488,0.7734806629834254,0.717948717948718,Logistic Regression
All Features,0.8990683229813664,0.862015503875969,0.860655737704918,0.8923512747875354,Gradient Boosting
Top 5 Chi2,0.8286749482401656,0.8186046511627907,0.8027397260273973,0.8668639053254438,Gradient Boosting
Machine Features,0.8881987577639752,0.8263565891472868,0.7955182072829131,0.8792569659442725,Gradient Boosting
Weather Features,0.8416149068322981,0.8170542635658915,0.8428571428571429,0.8240223463687151,Gradient Boosting
Quality Features,0.7919254658385093,0.7968992248062016,0.7303370786516854,0.8813559322033898,Gradient Boosting
All Features,1.0,0.8790697674418605,0.9106145251396648,0.8763440860215054,Random Forest Classifier
Top 5 Chi2,1.0,0.9162790697674419,0.9224376731301939,0.9275766016713092,Random Forest Classifier
Machine Features,0.9761904761904762,0.8449612403100775,0.8256130790190735,0.8938053097345132,Random Forest Classifier
Weather Features,0.8592132505175983,0.834108527131783,0.8347107438016529,0.8657142857142858,Random Forest Classifier
Quality Features,0.9989648033126294,0.8992248062015504,0.8813056379821959,0.922360248447205,Random Forest Classifier
